,Fake Fund Managers S&P 500 ETF,S&P 500 Index
2004-08-01,0.00352616133574335,0.00402999999999976
2004-09-01,0.0106220603201552,0.0108299999999999
2004-10-01,0.0155774845002046,0.0152799999999997
2004-11-01,0.0418720207791219,0.0404600000000002
2004-12-01,0.0318840113371495,0.03403
2005-01-01,-0.0232852938021396,-0.024375
2005-02-01,0.017997700269075,0.0210399999999999
2005-03-01,-0.017333940864422,-0.01771
2005-04-01,-0.0177434069917903,-0.01897
2005-05-01,0.0295696844496967,0.0318200000000002
2005-06-01,0.00488249485879666,0.00141999999999998
2005-07-01,0.0339839608453192,0.0371999999999999
2005-08-01,-0.000955126990768496,-0.00912000000000002
2005-09-01,0.00135510879954026,0.0081
2005-10-01,-0.0192671065568585,-0.0166700000000001
2005-11-01,0.0416252566572501,0.0378200000000002
2005-12-01,0.00098096965853145,0.00034999999999985
2006-01-01,0.0263338916847762,0.0264799999999998
2006-02-01,0.00209038345580237,0.00270999999999999
2006-03-01,0.0214457579584679,0.0124499999999999
2006-04-01,0.0090535669719356,0.0134300000000001
2006-05-01,-0.0333419672107527,-0.0287799999999999
2006-06-01,0.00127027482311637,0.00136000000000003
2006-07-01,0.00743600096833252,0.00616999999999979
2006-08-01,0.0228891892831666,0.0237931300000003
2006-09-01,0.0247777709986214,0.0257700000000001
2006-10-01,0.0327806462701987,0.0325899999999999
2006-11-01,0.0182986081995833,0.01902
2006-12-01,0.0140755387882452,0.0140277499999999
2007-01-01,0.0176732704451628,0.01512318
2007-02-01,-0.0195590971435088,-0.0195588199999999
2007-03-01,0.011400435092672,0.011185
2007-04-01,0.0388020672417038,0.0442952700000001
2007-05-01,0.0371310154937388,0.0348951199999998
2007-06-01,-0.0195023614874995,-0.0166133299999999
2007-07-01,-0.0359394271687604,-0.03100481
2007-08-01,0.0220202359939865,0.0149900700000001
2007-09-01,0.0430140065962863,0.0373999999999999
2007-10-01,0.0134240572097535,0.0159100000000001
2007-11-01,-0.0483089326446957,-0.04181
